municipality_or_region,population_priority,address_source_found,postal_code_present,coordinates_present,latest_release,licence_verified,source_id,coverage_status,notes
Toronto,1,true,unknown,true,unknown,true,toronto_addresses,conditional_accept,"Official catalogue and licence verified; dataset describes 500000+ address points, but postal field, stable resource endpoint, completeness, duplicates and release metadata require profiling"
Ottawa,2,unknown,unknown,unknown,unknown,false,ottawa_addresses,defer_verification,"Initial survey did not preserve a verified catalogue record, dataset identifier, schema sample or reproducible endpoint"
Peel,3,unknown,unknown,unknown,unknown,false,peel_addresses,discovery_required,"No supporting catalogue URL, endpoint, schema or licence evidence recorded"
York,4,unknown,unknown,unknown,unknown,false,york_addresses,discovery_required,"No supporting catalogue URL, endpoint, schema or licence evidence recorded"
Durham,5,unknown,unknown,unknown,unknown,false,durham_addresses,discovery_required,"No supporting catalogue URL, endpoint, schema or licence evidence recorded"
Halton,6,unknown,unknown,unknown,unknown,false,halton_addresses,discovery_required,"No supporting catalogue URL, endpoint, schema or licence evidence recorded"
Hamilton,7,unknown,unknown,unknown,unknown,false,hamilton_addresses,discovery_required,"No supporting catalogue URL, endpoint, schema or licence evidence recorded"
Waterloo,8,unknown,unknown,unknown,unknown,false,waterloo_addresses,discovery_required,"No supporting catalogue URL, endpoint, schema or licence evidence recorded"
Niagara,9,unknown,unknown,unknown,unknown,false,niagara_addresses,discovery_required,"No supporting catalogue URL, endpoint, schema or licence evidence recorded"
London and Middlesex,10,unknown,unknown,unknown,unknown,false,london_addresses,discovery_required,"No supporting catalogue URL, endpoint, schema or licence evidence recorded"
Windsor and Essex,11,unknown,unknown,unknown,unknown,false,windsor_addresses,discovery_required,"No supporting catalogue URL, endpoint, schema or licence evidence recorded"
Kingston,12,unknown,unknown,unknown,unknown,false,kingston_addresses,discovery_required,"No supporting catalogue URL, endpoint, schema or licence evidence recorded"
Simcoe,13,unknown,unknown,unknown,unknown,false,simcoe_addresses,discovery_required,"No supporting catalogue URL, endpoint, schema or licence evidence recorded"
Greater Sudbury,14,unknown,unknown,unknown,unknown,false,sudbury_addresses,discovery_required,"No supporting catalogue URL, endpoint, schema or licence evidence recorded"
Thunder Bay,15,unknown,unknown,unknown,unknown,false,thunderbay_addresses,discovery_required,"No supporting catalogue URL, endpoint, schema or licence evidence recorded"
Peterborough,16,unknown,unknown,unknown,unknown,false,peterborough_addresses,discovery_required,"No supporting catalogue URL, endpoint, schema or licence evidence recorded"
